tmID,year,points_prev1,oRebounds_prev1,dRebounds_prev1,assists_prev1,steals_prev1,blocks_prev1,turnovers_prev1,PF_prev1,confID,playoff,won_prev1
9,2,109.44406477912801,22.97259978994619,35.25381550846849,24.357881448957688,16.643708248215543,4.315621809917732,26.339682429657397,38.860565487193554,0,1,13.0
9,3,154.76680961754957,30.363424841578357,56.828329045961105,31.484688609377276,19.407799058646734,8.517423371675298,36.223556464102636,56.25273708855575,0,0,20.0
10,2,115.71118009252106,15.303006875226059,29.915695971347958,22.53590694825258,11.933837129742933,4.694859768500534,30.54463600450749,46.69123444965212,1,0,15.0
10,3,150.39290110443915,26.598702990012228,50.65986592775603,30.789259009510655,15.032080695163975,11.384392437107206,37.517726942546034,50.55461832018111,1,0,12.0
10,4,129.38327054627467,19.968082807875142,42.37990961936331,28.622510554542096,15.076134951315787,7.763239968849348,29.27590589558789,45.57442217967362,1,1,10.0
10,5,89.27760242602264,12.14824683311937,29.969466808475964,28.371140780416763,10.910941850680512,5.3948993719210065,25.44991061679191,31.649831283182344,1,1,18.0
10,6,151.06129421552777,17.350566142987407,43.99527402715908,31.846799011472893,16.101232768757033,10.804915174478854,38.44047967470844,47.071013340952064,1,0,18.0
10,7,118.68973356491317,15.891536708317972,34.13413975412949,25.966127489404133,11.8941851457035,8.694107989047888,26.880640016856347,34.15835940547305,1,0,14.0
10,8,138.055173858693,24.523069850464267,34.364325479335875,36.240087034963906,11.582408660699791,6.875542188882854,28.494387196859314,38.81497341293113,1,0,10.0
10,9,170.18888517062712,23.27588764402321,51.370465192286574,41.30578477312704,15.96262084553768,5.8559821833190675,35.31505018229285,49.26587650190642,1,0,10.0
10,10,179.78130796855703,26.95743053445668,54.36919579821684,30.42558896718903,16.982614169227134,13.818491579501178,28.20101550161241,54.823191588142166,1,0,16.0
11,2,135.32485445957764,18.812031050888393,40.97161699994039,36.419246315792094,15.212042566814542,6.700798841446329,31.618756608109724,40.00922738561615,0,1,20.0
11,3,155.03327932767715,21.471450390257296,41.879130098363156,33.66760266966627,16.94993452998761,6.66703485715743,28.376408134651406,42.95231087053265,0,1,21.0
